filename,width,height,class,xmin,ymin,xmax,ymax
15257.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",1020,514,1053,549
15257.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",505,541,545,577
15256.png,1920,1080,Vorfahrt,1617,408,1755,542
15256.png,1920,1080,Gefahrenzeichen,1767,621,1818,664
15256.png,1920,1080,"(Sonstiges, rot/blau)",1774,669,1808,705
15256.png,1920,1080,"(Sonstiges, blau)",879,633,911,666
15256.png,1920,1080,"(Sonstiges, blau)",750,524,782,558
15256.png,1920,1080,"(Sonstiges, blau)",584,530,614,558
15256.png,1920,1080,"(Sonstiges, blau)",495,604,524,632
15255.png,1920,1080,Vorfahrt,920,593,959,629
15254.png,1920,1080,"(Sonstiges, gelb)",1498,67,1852,421
15254.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",1009,580,1038,606
15253.png,1920,1080,"(Sonstiges, weiss)",1310,369,1486,532
15253.png,1920,1080,"(Sonstiges, gelb)",898,606,941,631
15252.png,1920,1080,Gefahrenzeichen,992,631,1019,659
15252.png,1920,1080,Zusatzschild,989,660,1020,677
15252.png,1920,1080,in ... km,989,679,1020,696
15252.png,1920,1080,"(Sonstiges, gelb)",952,680,1007,714
15251.png,1280,720,"70 km/h, Beginn - Hoechstgeschwindigkeit",693,347,714,367
15251.png,1280,720,Ortsausgangsschild,352,354,389,381
15250.png,1920,1080,"(Sonstiges, blau)",1134,612,1167,664
15249.png,1920,1080,"(Sonstiges, gelb)",1447,21,1920,467
15248.png,1920,1080,"(Sonstiges, blau)",1312,437,1529,617
15247.png,1280,720,Gefahrenzeichen,755,295,797,331
15247.png,1280,720,"(Sonstiges, blau)",618,378,628,389
15247.png,1280,720,"(Sonstiges, blau)",556,354,566,363
15246.png,1920,1080,"(Sonstiges, blau)",1191,491,1231,528
15245.png,1920,1080,"(Sonstiges, rot/blau)",1247,416,1311,478
15245.png,1920,1080,"(Sonstiges, rot/weiss)",1244,345,1313,409
15245.png,1920,1080,"(Sonstiges, rot/blau)",105,417,164,464
15245.png,1920,1080,"(Sonstiges, rot/weiss)",89,337,167,406
15244.png,1920,1080,"(Sonstiges, rot/weiss)",623,415,676,465
15244.png,1920,1080,Vorfahrt,1745,400,1795,444
15244.png,1920,1080,"(Sonstiges, rot/blau)",1107,574,1126,594
15244.png,1920,1080,"(Sonstiges, blau)",1108,597,1126,611
15243.png,1920,1080,"(Sonstiges, rot/weiss)",1309,536,1332,555
15243.png,1920,1080,"(Sonstiges, rot/weiss)",1186,549,1202,566
15243.png,1920,1080,"(Sonstiges, gelb)",1456,487,1643,522
15243.png,1920,1080,"(Sonstiges, weiss)",1461,522,1642,558
15242.png,1920,1080,"(Sonstiges, blau)",1277,474,1330,523
15242.png,1920,1080,"(Sonstiges, rot/weiss)",1267,412,1338,475
15242.png,1920,1080,"(Sonstiges, gelb)",1711,543,1804,564
15242.png,1920,1080,"(Sonstiges, gelb)",1711,566,1806,590
15242.png,1920,1080,"(Sonstiges, braun)",1710,522,1817,546
15240.png,1920,1080,"(Sonstiges, rot/weiss)",1297,367,1385,441
15239.png,1920,1080,"(Sonstiges, blau)",1179,453,1237,514
15239.png,1920,1080,"(Sonstiges, gelb)",869,516,940,586
15239.png,1920,1080,"(Sonstiges, blau)",869,491,887,516
15238.png,1920,1080,"(Sonstiges, rot/weiss)",1439,523,1484,566
15238.png,1920,1080,"(Sonstiges, blau)",1138,560,1157,591
15238.png,1920,1080,"(Sonstiges, rot/weiss)",702,532,738,568
15237.png,1920,1080,"(Sonstiges, gelb)",1163,286,1381,492
15236.png,1920,1080,Vorfahrt,276,420,355,496
15236.png,1920,1080,"(Sonstiges, blau)",814,627,835,646
15236.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",831,573,847,587
15236.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",1066,578,1081,591
15236.png,1920,1080,"(Sonstiges, rot/blau)",1066,593,1077,609
15235.png,1920,1080,Vorfahrt,1219,525,1248,555
15235.png,1920,1080,"(Sonstiges, gelb)",1321,443,1499,475
15235.png,1920,1080,"(Sonstiges, weiss)",1324,478,1503,514
15235.png,1920,1080,"(Sonstiges, blau)",843,638,855,651
15235.png,1920,1080,"(Sonstiges, blau)",1076,599,1086,610
15235.png,1920,1080,Zusatzschild,1076,610,1086,616
15235.png,1920,1080,Vorfahrt,674,529,703,557
15234.png,1920,1080,Vorfahrt,1078,505,1108,532
15234.png,1920,1080,"(Sonstiges, weiss)",1169,479,1280,498
15234.png,1920,1080,"(Sonstiges, gelb)",1172,498,1284,565
15234.png,1920,1080,"Kraftfahrstrasse, Ende",188,530,231,568
15233.png,1920,1080,"(Sonstiges, blau)",1255,449,1307,501
15233.png,1920,1080,Gefahrenzeichen,499,529,541,559
15232.png,1280,720,"(Sonstiges, gelb)",917,107,1182,278
15232.png,1280,720,"(Sonstiges, gelb)",669,311,691,345
15232.png,1280,720,"(Sonstiges, weiss)",668,299,693,311
15232.png,1280,720,"(Sonstiges, gelb)",441,321,459,326
15232.png,1280,720,"(Sonstiges, blau)",425,320,432,327
15232.png,1280,720,Vorfahrt,285,294,296,304
15230.png,1280,720,Vorfahrt,938,207,986,248
15230.png,1280,720,"(Sonstiges, gelb)",950,326,989,375
15230.png,1280,720,"(Sonstiges, blau)",455,406,471,421
15230.png,1280,720,"(Sonstiges, blau)",716,374,725,383
15230.png,1280,720,"(Sonstiges, rot/blau)",678,378,684,385
15230.png,1280,720,"(Sonstiges, rot/blau)",673,378,677,386
15230.png,1280,720,Zusatzschild,677,385,685,390
15229.png,1280,720,"(Sonstiges, rot/blau)",444,324,458,337
15228.png,1920,1080,"(Sonstiges, blau)",1062,574,1114,599
15227.png,1920,1080,"(Sonstiges, gelb)",828,653,889,725
15226.png,1920,1080,"(Sonstiges, gelb)",1046,482,1198,514
15226.png,1920,1080,"(Sonstiges, weiss)",1047,517,1199,541
15226.png,1920,1080,Vorfahrt,1007,486,1041,516
15226.png,1920,1080,Vorfahrt,508,469,540,500
15226.png,1920,1080,Zusatzschild,513,500,538,516
15225.png,1920,1080,"(Sonstiges, weiss)",275,573,309,624
15225.png,1920,1080,"(Sonstiges, blau)",674,592,696,619
15225.png,1920,1080,Zusatzschild,674,618,692,633
15224.png,1920,1080,Ortsausgangsschild,475,563,521,593
15223.png,1920,1080,"(Sonstiges, gelb)",938,466,987,498
15223.png,1920,1080,"(Sonstiges, gelb)",807,467,899,500
15223.png,1920,1080,"(Sonstiges, gelb)",722,471,769,504
15222.png,1920,1080,Vorfahrt,1375,222,1480,325
15222.png,1920,1080,"50 km/h, Beginn - Hoechstgeschwindigkeit",915,530,932,547
15222.png,1920,1080,"(Sonstiges, blau)",917,547,933,561
15222.png,1920,1080,"(Sonstiges, rot/weiss)",919,562,929,571
15221.png,1920,1080,"(Sonstiges, gelb)",1010,522,1072,586
15221.png,1920,1080,"(Sonstiges, rot/weiss)",993,584,1009,595
15220.png,1280,720,"(Sonstiges, gelb)",643,249,695,334
15220.png,1280,720,"(Sonstiges, gelb)",547,330,556,346
15218.png,1920,1080,"(Sonstiges, gelb)",1221,368,1492,531
15218.png,1920,1080,"(Sonstiges, rot/weiss)",1070,457,1121,501
15218.png,1920,1080,"(Sonstiges, rot/weiss)",759,330,814,381
15218.png,1920,1080,"(Sonstiges, rot/weiss)",160,407,218,455
15217.png,1280,720,Vorfahrt,912,209,991,286
15217.png,1280,720,"70 km/h, Beginn - Hoechstgeschwindigkeit",670,383,687,397
15217.png,1280,720,Zusatzschild,671,397,687,407
15216.png,1920,1080,"30 km/h, Beginn - Hoechstgeschwindigkeit",12,529,81,585
15215.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",966,641,988,662
15214.png,1280,720,Vorfahrt,747,297,768,320
15214.png,1280,720,Gefahrenzeichen,748,321,770,338
15214.png,1280,720,Zusatzschild,751,338,765,347
15214.png,1280,720,"(Sonstiges, blau)",724,370,733,380
15213.png,1920,1080,"(Sonstiges, blau)",1356,424,1411,504
15213.png,1920,1080,"(Sonstiges, blau)",990,587,1007,602
15212.png,1920,1080,"(Sonstiges, gelb)",641,611,718,704
15211.png,1280,720,Vorfahrt,532,320,542,330
15210.png,1920,1080,Gefahrenzeichen,1419,437,1494,500
15210.png,1920,1080,Vorfahrt,998,551,1018,570
15210.png,1920,1080,"(Sonstiges, blau)",1106,539,1124,557
15210.png,1920,1080,Zusatzschild,1107,555,1123,562
15210.png,1920,1080,"(Sonstiges, rot/weiss)",1274,547,1293,569
15208.png,1920,1080,Gefahrenzeichen,1764,477,1836,526
15208.png,1920,1080,Zusatzschild,1775,524,1830,546
15208.png,1920,1080,Zusatzschild,1777,547,1830,568
15208.png,1920,1080,"(Sonstiges, blau)",1204,564,1218,580
15208.png,1920,1080,"(Sonstiges, rot/weiss)",1092,573,1107,585
15208.png,1920,1080,Zusatzschild,1203,580,1220,592
15208.png,1920,1080,Zusatzschild,1094,585,1106,591
15208.png,1920,1080,"(Sonstiges, rot/weiss)",834,573,850,586
15208.png,1920,1080,"(Sonstiges, rot/weiss)",837,591,847,599
15208.png,1920,1080,Zusatzschild,837,599,848,608
15207.png,1920,1080,"(Sonstiges, weiss)",1003,592,1065,612
15207.png,1920,1080,"(Sonstiges, weiss)",1003,609,1065,628
15207.png,1920,1080,Vorfahrt,971,617,978,625
15206.png,1920,1080,Vorfahrt,1155,589,1202,632
15206.png,1920,1080,"(Sonstiges, blau)",560,696,601,739
15205.png,1920,1080,Ende saemtlicher Streckenverbote,876,684,892,699
15204.png,1920,1080,"(Sonstiges, rot/weiss)",1585,723,1605,756
15203.png,1920,1080,"50 km/h, Beginn - Hoechstgeschwindigkeit",1275,455,1350,530
15202.png,1920,1080,"(Sonstiges, weiss)",1349,405,1531,431
15202.png,1920,1080,"(Sonstiges, gelb)",1348,435,1541,546
15202.png,1920,1080,Vorfahrt,1189,451,1238,495
15201.png,1280,720,Vorfahrt,779,272,805,297
15201.png,1280,720,Gefahrenzeichen,781,299,808,321
15201.png,1280,720,Zusatzschild,785,322,804,332
15201.png,1280,720,"(Sonstiges, blau)",737,365,747,376
15200.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",1216,409,1310,498
15200.png,1920,1080,"(Sonstiges, gelb)",909,623,987,722
15198.png,1280,720,"(Sonstiges, blau)",873,187,919,230
15198.png,1280,720,"(Sonstiges, weiss)",873,231,922,266
15197.png,1920,1080,"(Sonstiges, blau)",758,558,781,629
15197.png,1920,1080,Vorfahrt,125,494,172,532
15196.png,1920,1080,Vorfahrt,1764,305,1863,388
15196.png,1920,1080,"(Sonstiges, blau)",774,614,794,637
15196.png,1920,1080,"(Sonstiges, blau)",927,571,950,587
15196.png,1920,1080,"(Sonstiges, blau)",926,588,949,601
15196.png,1920,1080,"(Sonstiges, gelb)",888,575,925,605
15195.png,1920,1080,"(Sonstiges, rot/weiss)",1293,454,1334,488
15195.png,1920,1080,"(Sonstiges, gelb)",551,530,579,542
15194.png,1920,1080,"(Sonstiges, blau)",1187,241,1270,325
15194.png,1920,1080,"(Sonstiges, blau)",1013,491,1048,527
15194.png,1920,1080,"(Sonstiges, rot/blau)",1180,324,1270,407
15194.png,1920,1080,"(Sonstiges, rot/blau)",1012,455,1049,490
15194.png,1920,1080,"(Sonstiges, rot/weiss)",1507,417,1539,475
15193.png,1280,720,Vorfahrt,658,301,680,322
15193.png,1280,720,Gefahrenzeichen,637,318,648,328
15192.png,1920,1080,"(Sonstiges, weiss)",850,684,899,702
15191.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",1105,495,1146,531
15191.png,1920,1080,Zusatzschild,1106,530,1147,550
15191.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",457,492,504,529
15191.png,1920,1080,Zusatzschild,457,530,505,553
15190.png,1920,1080,"(Sonstiges, gelb)",1663,288,1920,464
15190.png,1920,1080,Vorfahrt,1322,443,1377,495
15189.png,1920,1080,"50 km/h, Beginn - Hoechstgeschwindigkeit",1063,525,1090,554
15189.png,1920,1080,Vorfahrt,1056,557,1095,593
15188.png,1920,1080,"(Sonstiges, blau)",1246,345,1299,372
15188.png,1920,1080,"(Sonstiges, blau)",1247,379,1298,411
15188.png,1920,1080,"(Sonstiges, blau)",1250,413,1304,490
15188.png,1920,1080,"(Sonstiges, blau)",909,518,955,539
15188.png,1920,1080,"(Sonstiges, gelb)",878,544,912,554
15188.png,1920,1080,"(Sonstiges, gelb)",889,560,903,567
15188.png,1920,1080,"(Sonstiges, gelb)",570,1,1234,242
15187.png,1920,1080,"(Sonstiges, blau)",856,484,1034,566
15187.png,1920,1080,"(Sonstiges, blau)",914,606,946,622
15187.png,1920,1080,"(Sonstiges, blau)",1053,597,1072,621
15186.png,1920,1080,"(Sonstiges, blau)",984,590,1025,616
15185.png,1280,720,"(Sonstiges, blau)",713,385,731,403
15185.png,1280,720,Zusatzschild,715,402,732,413
15184.png,1920,1080,"(Sonstiges, blau)",1165,506,1183,531
15184.png,1920,1080,Zusatzschild,1162,531,1188,545
15183.png,1920,1080,"(Sonstiges, rot/blau)",1580,416,1636,469
15183.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",1272,511,1306,543
15183.png,1920,1080,"(Sonstiges, blau)",1274,544,1309,575
15183.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",701,544,738,578
15183.png,1920,1080,"(Sonstiges, blau)",1,530,59,720
15182.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",971,635,994,656
15181.png,1280,720,"(Sonstiges, blau)",647,373,684,407
15180.png,1280,720,"(Sonstiges, blau)",729,363,750,407
15180.png,1280,720,"(Sonstiges, blau)",582,371,607,385
15180.png,1280,720,"(Sonstiges, blau)",612,391,618,404
15179.png,1920,1080,"(Sonstiges, gelb)",1010,608,1045,621
15179.png,1920,1080,"(Sonstiges, weiss)",1009,594,1031,607
15179.png,1920,1080,Ortsausgangsschild,756,595,785,616
15178.png,1920,1080,"(Sonstiges, blau)",1306,384,1522,483
15177.png,1280,720,Gefahrenzeichen,747,287,787,330
15177.png,1280,720,Zusatzschild,748,330,784,348
15177.png,1280,720,"(Sonstiges, blau)",712,358,728,378
15176.png,1920,1080,"(Sonstiges, blau)",1123,559,1143,586
15176.png,1920,1080,"(Sonstiges, rot/blau)",1123,586,1136,601
15174.png,1920,1080,"(Sonstiges, braun)",1213,529,1334,551
15174.png,1920,1080,"(Sonstiges, braun)",1215,560,1338,584
15174.png,1920,1080,"(Sonstiges, rot/weiss)",983,557,1001,572
15174.png,1920,1080,"(Sonstiges, rot/weiss)",1079,590,1096,605
15174.png,1920,1080,"(Sonstiges, blau)",1137,615,1147,624
15174.png,1920,1080,"(Sonstiges, gelb)",1125,567,1192,615
15174.png,1920,1080,"(Sonstiges, rot/weiss)",811,589,828,604
15173.png,1920,1080,"(Sonstiges, rot/weiss)",1066,534,1101,567
15172.png,1920,1080,"(Sonstiges, gelb)",1077,378,1331,471
15171.png,1920,1080,Vorfahrt,1021,542,1044,567
15171.png,1920,1080,"(Sonstiges, blau)",1156,530,1177,547
15171.png,1920,1080,Zusatzschild,1157,547,1176,558
15170.png,1920,1080,Ende saemtlicher Streckenverbote,1092,547,1138,591
15169.png,1920,1080,"(Sonstiges, gelb)",1683,53,1878,309
15169.png,1920,1080,"(Sonstiges, gelb)",964,488,1046,557
15169.png,1920,1080,"(Sonstiges, blau)",963,465,983,490
15168.png,1920,1080,Vorfahrt,1426,528,1453,554
15168.png,1920,1080,"(Sonstiges, gelb)",1428,501,1449,526
15168.png,1920,1080,"(Sonstiges, blau)",1427,556,1455,585
15168.png,1920,1080,"(Sonstiges, blau)",800,528,820,547
15168.png,1920,1080,Vorfahrt,804,509,820,524
15167.png,1920,1080,"(Sonstiges, rot/weiss)",1094,588,1111,604
15167.png,1920,1080,"(Sonstiges, blau)",1509,593,1519,634
15167.png,1920,1080,"(Sonstiges, blau)",753,620,779,645
15167.png,1920,1080,"(Sonstiges, rot/weiss)",820,589,835,604
15166.png,1920,1080,"(Sonstiges, rot/blau)",1182,436,1237,492
15164.png,1920,1080,"(Sonstiges, blau)",812,608,838,634
15163.png,1280,720,"(Sonstiges, blau)",374,299,519,339
15163.png,1280,720,"(Sonstiges, blau)",349,344,390,382
15162.png,1920,1080,Vorfahrt,1681,298,1876,466
15162.png,1920,1080,Ortsausgangsschild,324,471,422,541
15161.png,1920,1080,"(Sonstiges, gelb)",975,487,1041,561
15161.png,1920,1080,"(Sonstiges, blau)",974,451,990,485
15160.png,1920,1080,Ortseingangsschild,954,672,1003,706
15160.png,1920,1080,Gefahrenzeichen,897,714,920,732
15160.png,1920,1080,Zusatzschild,901,732,917,740
15159.png,1280,720,"(Sonstiges, rot/blau)",841,270,879,306
15158.png,1920,1080,"(Sonstiges, gelb)",1121,372,1371,554
15158.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",1015,568,1040,592
15158.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",628,577,653,601
15158.png,1920,1080,"(Sonstiges, gelb)",835,602,860,621
15157.png,1920,1080,"(Sonstiges, blau)",334,625,433,723
15157.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",728,461,770,502
15157.png,1920,1080,"(Sonstiges, gelb)",160,19,383,76
15156.png,1920,1080,"70 km/h, Ende - Hoechstgeschwindigkeit",550,638,580,669
15156.png,1920,1080,Gefahrenzeichen,891,703,910,719
15155.png,1280,720,"(Sonstiges, blau)",761,279,786,302
15155.png,1280,720,Zusatzschild,765,303,783,313
15154.png,1280,720,Kurve (links),814,253,874,302
15153.png,1280,720,"(Sonstiges, gelb)",1014,35,1196,263
15153.png,1280,720,"(Sonstiges, blau)",616,358,640,381
15153.png,1280,720,"(Sonstiges, blau)",471,366,492,389
15153.png,1280,720,"(Sonstiges, blau)",495,391,508,402
15153.png,1280,720,Zusatzschild,496,404,508,410
15152.png,1280,720,"(Sonstiges, blau)",693,256,797,363
15151.png,1280,720,Vorfahrt,820,293,876,344
15151.png,1280,720,"(Sonstiges, rot/weiss)",1186,200,1215,274
15150.png,1920,1080,"(Sonstiges, blau)",2,645,163,793
15148.png,1920,1080,Vorfahrt,1066,566,1104,609
15147.png,1920,1080,"(Sonstiges, rot/weiss)",1032,525,1056,549
15147.png,1920,1080,"(Sonstiges, rot/weiss)",624,527,651,551
15146.png,1920,1080,Kurve (links),902,702,923,717
15143.png,1920,1080,Vorfahrt,953,574,973,595
15143.png,1920,1080,"(Sonstiges, rot/blau)",943,591,953,602
15143.png,1920,1080,"(Sonstiges, rot/blau)",934,592,943,603
15142.png,1280,720,"(Sonstiges, blau)",749,284,789,322
15142.png,1280,720,Vorfahrt,743,228,797,279
15141.png,1920,1080,"(Sonstiges, gelb)",906,689,918,718
15140.png,1920,1080,"(Sonstiges, blau)",889,672,905,688
15140.png,1920,1080,"(Sonstiges, blau)",721,711,732,723
15138.png,1920,1080,"(Sonstiges, rot/blau)",1254,484,1276,505
15138.png,1920,1080,"(Sonstiges, rot/blau)",1230,469,1250,490
15138.png,1920,1080,Zusatzschild,1233,492,1251,507
15138.png,1920,1080,Zusatzschild,1230,508,1251,526
15138.png,1920,1080,Zusatzschild,1254,506,1277,523
15138.png,1920,1080,"(Sonstiges, blau)",1187,547,1207,568
15138.png,1920,1080,"(Sonstiges, blau)",459,635,499,674
15137.png,1920,1080,Vorfahrt,995,539,1027,569
15136.png,1920,1080,"(Sonstiges, blau)",519,625,557,659
15135.png,1920,1080,"Kraftfahrstrasse, Beginn",1028,538,1058,568
15134.png,1280,720,"(Sonstiges, weiss)",1017,273,1051,320
15133.png,1920,1080,Gefahrenzeichen,1395,537,1434,564
15133.png,1920,1080,Zusatzschild,1399,563,1429,576
15133.png,1920,1080,"(Sonstiges, weiss)",1400,577,1429,589
15133.png,1920,1080,"(Sonstiges, blau)",1140,577,1153,589
15133.png,1920,1080,"(Sonstiges, weiss)",1141,589,1154,599
15132.png,1920,1080,Vorfahrt,1216,466,1302,544
15131.png,1920,1080,"(Sonstiges, weiss)",1134,558,1170,638
15131.png,1920,1080,"(Sonstiges, weiss)",222,599,256,668
15130.png,1920,1080,Vorfahrt,975,575,999,598
15129.png,1920,1080,"50 km/h, Beginn - Hoechstgeschwindigkeit",1508,520,1541,552
15129.png,1920,1080,"50 km/h, Beginn - Hoechstgeschwindigkeit",490,509,529,547
15128.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",1331,389,1387,441
15128.png,1920,1080,"60 km/h, Beginn - Hoechstgeschwindigkeit",601,435,660,491
15128.png,1920,1080,"(Sonstiges, rot/blau)",1332,445,1384,494
15127.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",1115,482,1162,525
15127.png,1920,1080,"70 km/h, Beginn - Hoechstgeschwindigkeit",419,511,466,557
15126.png,1920,1080,"70 km/h, Ende - Hoechstgeschwindigkeit",1123,472,1180,526
15125.png,1920,1080,"(Sonstiges, blau)",712,676,732,695
15124.png,1920,1080,"(Sonstiges, blau)",1369,440,1400,477
15124.png,1920,1080,Zusatzschild,1365,477,1408,499
15123.png,1920,1080,"(Sonstiges, rot/weiss)",1038,689,1061,713
15123.png,1920,1080,"(Sonstiges, blau)",793,701,817,724
15123.png,1920,1080,"(Sonstiges, blau)",1039,712,1056,726
15123.png,1920,1080,"(Sonstiges, blau)",1331,746,1401,767
15122.png,1280,720,"(Sonstiges, blau)",851,296,893,334
15121.png,1280,720,"(Sonstiges, rot/weiss)",918,285,946,317
15121.png,1280,720,"(Sonstiges, blau)",420,409,430,422
15120.png,1280,720,Gefahrenzeichen,656,304,676,323
15119.png,1280,720,"(Sonstiges, blau)",138,387,224,473
15118.png,1280,720,"(Sonstiges, gelb)",722,238,811,343
15118.png,1280,720,"(Sonstiges, blau)",541,379,557,397
15118.png,1280,720,"(Sonstiges, blau)",423,389,438,405
15118.png,1280,720,"(Sonstiges, blau)",438,407,449,416
15118.png,1280,720,Zusatzschild,439,418,448,423
15118.png,1280,720,"(Sonstiges, rot/weiss)",414,399,430,417
15118.png,1280,720,"(Sonstiges, rot/weiss)",74,407,92,427
15117.png,1920,1080,"(Sonstiges, blau)",441,566,470,596
15117.png,1920,1080,Zusatzschild,441,598,473,614
15117.png,1920,1080,"(Sonstiges, weiss)",547,587,569,608
15116.png,1920,1080,"(Sonstiges, gelb)",1125,373,1292,511
15116.png,1920,1080,Vorfahrt,932,594,940,603
15116.png,1920,1080,"(Sonstiges, gelb)",967,589,983,608
15115.png,1280,720,"(Sonstiges, weiss)",629,362,665,370
15115.png,1280,720,"(Sonstiges, weiss)",629,371,665,379
15115.png,1280,720,"(Sonstiges, braun)",629,379,666,389
15114.png,1920,1080,"(Sonstiges, blau)",792,585,824,616
15113.png,1280,720,"(Sonstiges, blau)",817,142,852,192
15113.png,1280,720,"(Sonstiges, gelb)",818,194,969,246
15113.png,1280,720,Vorfahrt,688,351,715,379
15113.png,1280,720,"(Sonstiges, braun)",817,332,968,375
15113.png,1280,720,"(Sonstiges, gelb)",818,247,965,330
15112.png,1280,720,"(Sonstiges, blau)",631,371,648,387
15112.png,1280,720,"(Sonstiges, blau)",434,380,473,387
15111.png,1920,1080,"(Sonstiges, weiss)",994,432,1042,473
15111.png,1920,1080,Zusatzschild,998,475,1044,485
15111.png,1920,1080,"(Sonstiges, weiss)",998,484,1043,496
15111.png,1920,1080,Vorfahrt,976,492,1003,519
15111.png,1920,1080,"(Sonstiges, blau)",762,560,777,575
15111.png,1920,1080,"(Sonstiges, rot/blau)",761,575,778,589
15111.png,1920,1080,"(Sonstiges, gelb)",978,479,1000,493
15111.png,1920,1080,"(Sonstiges, gelb)",848,514,865,526
15111.png,1920,1080,"(Sonstiges, weiss)",848,528,866,542
15111.png,1920,1080,"(Sonstiges, rot/blau)",608,594,617,601
